Faixa Etária 2;Masculino;Feminino;Total
0 a 4 anos;328440;313056;641496
5 a 9 anos;346449;330282;676731
10 a 14 anos;358227;341445;699672
15 a 19 anos;351084;334770;685854
20 a 29 anos;718055;688899;1406954
30 a 39 anos;840717;830642;1671359
40 a 49 anos;828952;850651;1679603
50 a 59 anos;699255;754035;1453290
60 a 69 anos;624165;722440;1346605
70 a 79 anos;418953;538662;957615
80 anos e mais;189711;325454;515165
Total 2030;5704008;6030336;11734344
