Faixa Etária 2;Masculino;Feminino;Total
0 a 4 anos;358235;341671;699906
5 a 9 anos;346717;330919;677636
10 a 14 anos;394597;376713;771310
15 a 19 anos;440919;425794;866713
20 a 29 anos;877111;868011;1745122
30 a 39 anos;836572;856661;1693233
40 a 49 anos;725946;770032;1495978
50 a 59 anos;684787;752782;1437569
60 a 69 anos;460502;536315;996817
70 a 79 anos;225707;303754;529461
80 anos e mais;89729;172303;262032
Total 2015;5440822;5734955;11175777
 ;;;
