Faixa Etária;Masculino;Feminino;Total
Menor 1 ano;65097;62837;127934
1 a 4 anos;262504;253524;516028
5 a 9 anos;368967;354792;723759
10 a 14 anos;438629;423154;861783
15 a 19 anos;442405;433332;875737
20 a 29 anos;883239;881666;1764905
30 a 39 anos;764920;788490;1553410
40 a 49 anos;741890;791111;1533001
50 a 59 anos;609936;667839;1277775
60 a 69 anos;372914;435649;808563
70 a 79 anos;186821;262312;449133
80 anos e mais;67735;134166;201901
Total 2010;5205057;5488872;10693929
